Date,Open,High,Low,Close,SMAVG5,SMAVG10,SMAVG30,Volume
2/4/2000,1485.22,1498.66,1474.88,1480.05,1468.42,1460.23,1493.12,4925400
2/7/2000,1477.99,1481.86,1467.13,1475.66,1473.85,1461.83,1491.28,5846800
2/8/2000,1475.66,1498.66,1473.85,1495.3,1479.95,1464.7,1490.2,4936500
2/9/2000,1497.11,1504.09,1465.06,1466.35,1480.52,1464.98,1488.11,8511500
2/10/2000,1466.87,1477.73,1460.15,1467.39,1476.95,1465.97,1485.94,6690600
2/11/2000,1466.61,1474.88,1431.2,1444.13,1469.77,1469.09,1483.04,9849800
2/14/2000,1443.61,1451.1,1433.79,1446.19,1463.87,1468.86,1480.1,8528800
2/15/2000,1446.45,1462.74,1427.84,1457.82,1456.38,1468.16,1478.14,11078300
2/16/2000,1457.82,1461.44,1437.41,1439.99,1451.1,1465.81,1477.49,8845400
2/17/2000,1439.99,1454.72,1431.2,1432.49,1444.13,1460.54,1476.52,7584200
2/18/2000,1433.79,1440.77,1394.76,1399.15,1435.13,1452.45,1474.77,9409200
2/22/2000,1401.99,1410.01,1381.83,1394.76,1424.84,1444.36,1470.96,16415400
2/23/2000,1395.01,1420.86,1390.1,1411.56,1415.59,1435.98,1467.17,12119000
2/24/2000,1411.3,1416.47,1376.15,1401.22,1407.84,1429.47,1463.76,17375000
2/25/2000,1401.73,1412.85,1376.15,1383.38,1398.01,1421.07,1460.18,10559900
2/28/2000,1382.87,1412.33,1372.53,1393.46,1396.88,1416,1456.34,13397800
2/29/2000,1395.01,1420.6,1393.72,1418.54,1401.63,1413.24,1452.69,8242500
3/1/2000,1418.79,1435.85,1417.5,1431.98,1405.72,1410.65,1449.78,6868000
3/2/2000,1431.2,1437.66,1419.05,1431.98,1411.87,1409.85,1446.76,7600200
3/3/2000,1431.72,1462.48,1430.43,1458.6,1426.91,1412.46,1445.19,12770300
3/6/2000,1459.38,1460.67,1433.27,1442.32,1436.68,1416.78,1443.15,11967100
3/7/2000,1441.8,1452.14,1396.82,1397.6,1432.49,1417.06,1441.08,20062000
3/8/2000,1398.63,1422.67,1394.24,1412.59,1428.62,1417.17,1439.28,11808500
3/9/2000,1412.85,1452.91,1405.19,1451.89,1432.6,1422.23,1438.9,5500900
3/10/2000,1452.65,1463.88,1441.17,1447.04,1430.29,1428.6,1438.54,7924600
3/13/2000,1446.02,1447.55,1409.78,1430.45,1427.91,1432.3,1439.13,10540400
3/14/2000,1430.2,1443.47,1405.19,1408.51,1430.1,1431.29,1437.8,8263900
3/15/2000,1407.23,1446.78,1402.89,1442.45,1436.07,1432.34,1437.05,10300800
3/16/2000,1442.45,1512.11,1441.42,1508.53,1447.4,1440,1438.55,25601400
3/17/2000,1507.77,1528.69,1498.58,1519.76,1461.94,1446.11,1439.7,10272900
3/20/2000,1516.7,1521.29,1497.05,1508.53,1477.56,1452.73,1440.65,12502300
3/21/2000,1508.02,1545.53,1493.48,1538.64,1503.58,1466.84,1442.75,13612600
3/22/2000,1539.15,1556.76,1535.07,1548.85,1524.86,1480.46,1444.54,8260000
3/23/2000,1548.59,1585.08,1541.19,1575.9,1538.34,1492.87,1448.19,11654500
3/24/2000,1574.62,1606.77,1566.97,1587.63,1551.91,1506.93,1452.2,11462900
3/27/2000,1584.32,1586.61,1567.73,1570.28,1564.26,1520.91,1456.4,8798600
3/28/2000,1569.77,1581.51,1554.46,1561.86,1568.9,1536.24,1460.26,6334400
3/29/2000,1560.84,1573.09,1546.3,1562.12,1571.56,1548.21,1463.73,6747500
3/30/2000,1561.61,1566.71,1524.35,1535.33,1563.44,1550.89,1466.91,9491900
3/31/2000,1536.35,1570.54,1532.01,1546.55,1555.23,1553.57,1470.71,9249100
4/3/2000,1545.28,1560.33,1533.03,1559.82,1553.14,1558.7,1476.07,8508200
4/4/2000,1559.82,1576.66,1460.56,1550.89,1550.94,1559.92,1481.28,21060400
4/5/2000,1547.32,1553.19,1522.06,1536.6,1545.84,1558.7,1485.44,8227900
4/6/2000,1533.03,1562.37,1532.52,1547.83,1548.34,1555.89,1490.33,6378500
4/7/2000,1552.42,1566.71,1545.02,1560.59,1551.15,1553.19,1496.24,6023600
4/10/2000,1562.12,1575.9,1549.36,1552.93,1549.77,1551.45,1501.55,9624200
4/11/2000,1551.66,1560.84,1528.44,1550.38,1549.67,1550.3,1505.95,9006400
4/12/2000,1549.87,1555.99,1505.47,1507.26,1543.8,1544.82,1508.46,10779700
4/13/2000,1507,1523.33,1481.23,1486.08,1531.45,1539.89,1510.26,12226800
4/14/2000,1486.84,1492.97,1374.83,1395.75,1498.48,1524.81,1508.17,29604000
4/17/2000,1394.98,1443.72,1369.98,1441.93,1476.28,1513.02,1508.15,23918200
4/18/2000,1442.45,1485.57,1429.94,1482.76,1462.76,1506.21,1510.99,11070700
4/19/2000,1480.21,1490.16,1464.9,1470,1455.31,1499.55,1512.9,6553700
4/20/2000,1469.75,1476.89,1461.07,1477.15,1453.52,1492.48,1513.75,8537600
4/24/2000,1472.55,1472.55,1446.27,1466.69,1467.71,1483.09,1514.4,12893100
4/25/2000,1467.96,1520.53,1466.94,1520.02,1483.32,1479.8,1517.39,14230300
4/26/2000,1518.99,1526.14,1497.31,1505.98,1487.97,1475.36,1520.64,7711100
4/27/2000,1505.47,1511.34,1470.26,1497.56,1493.48,1474.39,1522.47,15595300
4/28/2000,1498.33,1517.97,1488.12,1490.16,1496.08,1474.8,1521.86,8743400
5/1/2000,1489.14,1523.59,1488.12,1507.51,1504.25,1485.98,1521.45,7328300
5/2/2000,1507,1509.3,1478.93,1480.46,1496.34,1489.83,1520.52,9411900
5/3/2000,1480.72,1481.49,1433.51,1451.89,1485.52,1486.74,1517.63,12630700
5/4/2000,1453.42,1458.27,1440.66,1452.65,1476.54,1485.01,1514.42,5963600
5/5/2000,1452.91,1475.87,1435.05,1468.73,1472.25,1484.16,1510.85,7862400
5/8/2000,1468.22,1469.24,1453.93,1459.54,1462.65,1483.45,1506.58,5064100
5/9/2000,1459.8,1469.49,1438.62,1449.08,1456.38,1476.36,1502.54,5620300
5/10/2000,1448.06,1455.2,1411.57,1416.42,1449.28,1467.4,1497.69,10293900
5/11/2000,1416.93,1448.31,1411.06,1444.23,1447.6,1462.07,1493.76,7091100
5/12/2000,1447.29,1468.47,1443.47,1460.31,1445.92,1459.08,1491.26,5960800
5/15/2000,1459.03,1489.65,1452.65,1487.86,1451.58,1457.12,1489.3,4441300
5/16/2000,1487.61,1509.3,1486.33,1502.15,1462.2,1459.29,1487.38,8192200
5/17/2000,1501.13,1501.13,1478.17,1486.84,1476.28,1462.78,1485.24,5907200
5/18/2000,1486.08,1496.03,1471.28,1471.79,1481.79,1464.7,1483.08,4325600
5/19/2000,1471.53,1476.89,1436.07,1444.23,1478.58,1462.25,1479.63,6518400
5/22/2000,1442.19,1452.65,1400.85,1432.75,1467.55,1459.57,1475.37,10839400
5/23/2000,1433,1440.66,1407.23,1411.06,1449.33,1455.76,1470.64,7979200
5/24/2000,1410.55,1437.09,1393.71,1430.71,1438.11,1457.19,1466.65,11084500
5/25/2000,1433,1447.04,1406.47,1417.69,1427.29,1454.54,1463.67,8278900
5/26/2000,1416.67,1425.35,1401.62,1409.78,1420.4,1449.49,1461.12,4814000
5/29/2000,1412.08,1418.71,1410.04,1415.65,1416.98,1442.27,1461.79,
5/30/2000,1416.67,1458.27,1410.04,1456.73,1426.11,1437.72,1462.28,5362700
5/31/2000,1456.73,1468.73,1448.82,1451.63,1430.3,1434.2,1461.24,6056500
6/1/2000,1451.38,1483.78,1449.59,1481.49,1443.06,1435.17,1461.63,8961600
6/2/2000,1480.72,1522.82,1476.89,1506.49,1462.4,1441.4,1462.6,8962200
