Date,Open,High,Low,Close,SMAVG5,SMAVG10,SMAVG30,Volume
2000-06-02,1405.77,1516.02,1403.74,1499.76,1451.4,1469.38,1474.37,29340000
2000-06-09,1500.78,1506.21,1478.18,1485.94,1456.15,1464.01,1475.14,25580000
2000-06-16,1483.94,1508.96,1467.17,1489.44,1463.28,1457.59,1475.15,27910000
2000-06-23,1488.94,1515.72,1458.41,1464.92,1468.71,1465.13,1474.81,27060000
2000-06-30,1464.92,1489.44,1452.41,1469.42,1481.9,1465.02,1473.81,28470000
2000-07-07,1473.68,1503.71,1457.66,1496.2,1481.18,1466.29,1474.42,13180000
2000-07-14,1495.45,1527.48,1487.44,1525.48,1489.09,1472.62,1475.71,24830000
2000-07-21,1524.73,1534.49,1489.94,1490.94,1489.39,1476.34,1474.62,27170000
2000-07-28,1490.69,1500.95,1424.88,1433.39,1483.09,1475.9,1471.47,36330000
2000-08-04,1432.89,1474.93,1430.13,1473.18,1483.84,1482.87,1470.49,24950000
2000-08-11,1472.68,1500.95,1461.92,1479.93,1480.58,1480.88,1469.11,22490000
2000-08-18,1480.68,1509.46,1477.18,1502.2,1475.93,1482.51,1469.29,24000000
2000-08-25,1502.45,1520.47,1496.2,1514.97,1480.73,1485.06,1472.91,18290000
2000-09-01,1514.97,1541.49,1504.46,1524.73,1499,1491.04,1474.62,21100000
2000-09-08,1524.48,1528.23,1492.24,1497.91,1503.95,1493.89,1476.62,15580000
2000-09-15,1496.93,1510.24,1460.44,1462.91,1500.54,1490.56,1478.96,23880000
2000-09-22,1464.63,1469.07,1416.8,1448.11,1489.72,1482.83,1481.32,31970000
2000-09-29,1449.1,1460.44,1418.28,1433.57,1473.45,1477.09,1480.7,38580000
2000-10-06,1433.57,1453.54,1391.91,1406.94,1449.89,1474.44,1479.58,35600000
2000-10-13,1405.46,1406.94,1320.41,1366.27,1423.56,1463.75,1474.69,45090000
2000-10-20,1366.76,1402.26,1305.62,1391.41,1409.26,1454.9,1468.39,40530000
2000-10-27,1391.41,1408.92,1329.78,1381.55,1395.95,1442.84,1463.12,39290000
2000-11-03,1378.59,1425.43,1367.75,1416.31,1392.5,1432.97,1458.54,41240000
2000-11-10,1416.06,1434.8,1351.47,1353.45,1381.8,1415.84,1457.34,34600000
2000-11-17,1350,1385,1316.47,1351.47,1378.84,1401.2,1453.37,47030000
2000-11-24,1350.73,1354.43,1301.92,1327.81,1366.12,1387.69,1448.18,22290000
2000-12-01,1329.78,1348.76,1278.75,1302.17,1350.24,1373.09,1442.85,37030000
2000-12-08,1304.63,1366.79,1295.02,1319.17,1330.81,1361.66,1438.36,45570000
2000-12-15,1347.35,1372.37,1286.13,1288.56,1317.84,1349.82,1433.39,34340000
2000-12-22,1292.45,1328.16,1234.38,1289.29,1305.4,1342.12,1429.58,51360000
2000-12-29,1286.62,1318.2,1281.27,1297.3,1299.3,1332.71,1422.83,26650000
2001-01-05,1293.42,1341.03,1252.36,1267.67,1292.4,1321.32,1415.56,50300000
2001-01-12,1271.31,1306.78,1251.15,1292.69,1287.1,1308.96,1409,35560000
2001-01-19,1291.23,1333.02,1286.13,1310.42,1291.47,1304.65,1403.85,32280000
2001-01-26,1307.99,1340.06,1303.38,1324.76,1298.57,1301.98,1399.02,39670000
2001-02-02,1324.51,1354.64,1314.55,1315.04,1302.11,1300.71,1392.99,40000000
2001-02-09,1316.01,1331.8,1281.51,1284.19,1305.42,1298.91,1384.94,33060000
2001-02-16,1284.43,1304.11,1259.65,1268.64,1300.61,1293.85,1377.53,33160000
2001-02-23,1267.42,1274.47,1182.64,1212.28,1280.98,1286.23,1370.16,58130000
2001-03-02,1215.92,1240.94,1181.18,1200.37,1256.1,1277.33,1361.07,64990000
2001-03-09,1201.34,1234.63,1192.98,1196.35,1232.36,1267.24,1351.62,34660000
2001-03-16,1196.35,1198.75,1113.64,1117.25,1198.98,1252.2,1338.78,115630000
2001-03-23,1120.13,1147.54,1046.32,1109.31,1167.11,1233.86,1325.26,85650000
2001-03-30,1109.07,1148.74,1099.94,1124.46,1149.55,1215.26,1311.92,55030000
2001-04-06,1128.07,1133.6,1056.42,1096.57,1128.79,1192.44,1298.54,74750000
2001-04-13,1094.41,1148.26,1090.08,1146.58,1118.83,1175.6,1288,48880000
2001-04-20,1146.82,1274.24,1122.3,1202.84,1135.95,1167.46,1279.82,72210000
2001-04-27,1203.08,1211.49,1166.29,1210.29,1156.15,1161.63,1272.38,45390000
2001-05-04,1219.43,1229.28,1187.69,1224.48,1176.15,1162.85,1266.3,52990000
2001-05-11,1224.72,1228.08,1195.86,1203.8,1197.6,1163.19,1260.88,38260000
2001-05-18,1204.04,1249.72,1188.65,1245.87,1217.45,1168.14,1256.03,51120000
2001-05-25,1245.87,1268.71,1226.88,1230,1222.89,1179.42,1250.98,47540000
2001-06-01,1231.21,1234.33,1198.99,1216.54,1224.14,1190.14,1244.32,37780000
2001-06-08,1216.06,1239.14,1208.26,1217.8,1222.8,1199.48,1239.8,42350000
2001-06-15,1216.61,1218.52,1156.03,1169.62,1215.97,1206.78,1233.74,53440000
2001-06-22,1169.62,1191.81,1159.61,1178.21,1202.44,1209.95,1228.75,52370000
2001-06-29,1177.26,1188.23,1150.54,1175.06,1191.45,1207.17,1224.51,46610000
2001-07-06,1176.78,1190.85,1138.14,1138.91,1175.92,1200.03,1218.5,29010000
2001-07-13,1139.57,1169.39,1120.02,1168.91,1166.14,1194.47,1214.52,54790000
2001-07-20,1168.19,1174.87,1146.25,1159.13,1164.04,1190.01,1210.18,38880000
2001-07-27,1159.13,1167.24,1114.77,1154.12,1159.23,1180.83,1205.4,53840000
2001-08-03,1154.36,1177.5,1147.68,1163.9,1156.99,1174.22,1201.95,54300000
2001-08-10,1163.66,1164.85,1118.11,1136.47,1156.51,1166.21,1196.74,57890000
2001-08-17,1138.14,1147.44,1104.99,1111.91,1145.11,1155.62,1190.12,51470000
2001-08-24,1111.19,1134.33,1102.13,1132.9,1139.86,1151.95,1183.73,57090000
2001-08-31,1133.13,1137.19,1073.75,1082.81,1125.6,1142.41,1175.99,69340000
2001-09-07,1085.19,1105.23,1032.01,1033.44,1099.5,1128.25,1167.63,100740000
2001-09-14,1034.15,1048.46,1018.41,1045.36,1081.28,1118.9,1160.18,23410000
2001-09-21,988.42,1011.67,890.67,923.41,1043.58,1094.35,1150.56,183190000
2001-09-28,926.5,991.98,923.65,990.56,1015.12,1077.49,1143.56,111930000
2001-10-05,991.03,1032.08,976.32,1017.13,1001.98,1063.79,1137.59,134870000
